index,0,rank
0,19930325,273
1,19850618,170
2,19710708,3
3,19750927,56
4,19960206,313
5,19790706,100
6,19780518,89
7,19891024,229
8,19860307,181
9,19710410,1
10,19850511,168
11,19750409,49
12,19980801,334
13,19720126,8
14,19902401,243
15,20112501,466
16,19820412,131
17,19761301,69
18,19980424,329
19,19770521,77
20,19980721,332
21,19791021,105
22,19900303,236
23,19760211,62
24,19842501,164
25,19820413,132
26,19890922,228
27,19760902,67
28,19710912,5
29,19861024,190
30,19853101,177
31,19720720,13
32,19870412,198
33,19910620,249
34,20121201,475
35,19830315,150
36,19730214,19
37,19880524,209
38,19862701,194
39,19810114,117
40,19750729,51
41,19870624,200
42,19940814,289
43,20021301,380
44,19820816,136
45,19981501,339
46,19910715,252
47,19940612,286
48,19840917,162
49,19750228,48
50,19751122,57
51,19910524,248
52,19920613,260
53,19710711,4
54,19861226,193
55,19871101,204
56,19950314,299
57,19731201,26
58,20101205,456
59,19822001,142
60,19950724,304
61,19830806,154
62,19920222,258
63,19870628,201
64,19942901,292
65,19780811,92
66,19911029,254
67,19910706,251
68,19870121,197
69,19851103,176
70,19820704,135
71,19890413,219
72,19770711,80
73,19740412,34
74,19810919,128
75,19790906,103
76,19871205,206
77,19990501,345
78,19800422,110
79,19981004,335
80,19810629,122
81,19780804,91
82,19740707,39
83,20001401,363
84,19710518,2
85,19810901,126
86,19930605,276
87,19970809,322
88,19821208,140
89,19890826,226
90,19951013,308
91,19910419,247
92,20040801,396
93,19760920,68
94,19901208,242
95,19741101,45
96,19860718,185
97,19910331,246
98,19720513,10
99,19831114,158
100,19920816,263
101,19971005,324
102,20021801,381
103,19820922,137
104,19740224,29
105,19780203,87
106,20061101,414
107,19830822,155
108,19740504,35
109,20112001,465
110,19950617,302
111,19720610,11
112,19821016,138
113,19921215,268
114,19971208,326
115,19890405,218
116,19871204,205
117,19770620,78
118,20062701,415
119,19920717,262
120,19981222,338
121,19961002,316
122,19901105,241
123,19770504,76
124,19960227,314
125,20010124,366
126,20040910,399
127,19820526,133
128,20020628,377
129,19720506,9
130,19871025,203
131,19961014,317
132,20071130,427
133,19940628,287
134,19810114,117
135,19851010,175
136,19850211,166
137,19830210,148
138,19920205,257
139,20121021,473
140,19950214,297
141,20160530,497
142,19960122,312
143,19921014,266
144,20031006,387
145,19991018,350
146,20041111,401
147,20010530,368
148,19780202,86
149,19890909,227
150,19800312,109
151,19900622,238
152,20150928,491
153,19720113,7
154,19740306,32
155,19741010,43
156,19740526,36
157,19900210,234
158,20000823,360
159,20010526,367
160,20071021,425
161,20161019,499
162,19740305,31
163,19940129,283
164,19781021,94
165,19750818,53
166,19961111,318
167,19791001,104
168,19861013,189
169,19951021,309
170,20110124,459
171,19721004,14
172,19930823,277
173,20061018,413
174,19881204,213
175,19831021,157
176,20100526,451
177,19900118,233
178,19850615,169
179,19821210,141
180,19881209,214
181,19950818,305
182,19740613,38
183,20080526,433
184,20021111,379
185,19850817,173
186,20161013,498
187,20080114,432
188,20040312,391
189,19771021,81
190,20000810,359
191,19721130,15
192,19930506,275
193,19950118,296
194,19900411,237
195,20010530,368
196,19940218,285
197,19810218,119
198,20131011,482
199,19860124,179
200,19780726,90
201,19991223,351
202,19890515,221
203,19950906,306
204,19760310,64
205,19830127,145
206,19901023,239
207,20040812,398
208,20120901,471
209,19830725,153
210,19890811,225
211,19920417,259
212,19990724,347
213,19970711,321
214,19740910,42
215,19810814,125
216,19881111,212
217,20110613,462
218,19890514,220
219,19751214,59
220,20120625,470
221,19801018,115
222,19980515,330
223,19741014,44
224,19980725,333
225,19720615,12
226,19910107,245
227,20110915,463
228,19850901,174
229,20110601,461
230,19860501,183
231,20160501,495
232,19770701,79
233,19900101,231
234,20030701,384
235,20151001,492
236,19950501,300
237,19760201,61
238,19950101,294
239,19780201,85
240,20110101,457
241,20040501,393
242,20101101,454
243,20120901,471
244,20130101,478
245,19901101,240
246,19810701,123
247,19830501,152
248,19950701,303
249,19930401,274
250,20050501,405
251,19981201,337
252,20070101,417
253,20160201,494
254,19790801,101
255,20141001,486
256,19880801,210
257,20150901,490
258,19760401,65
259,19791101,106
260,20000201,354
261,19861001,187
262,20020601,376
263,19810901,126
264,20070601,422
265,19890401,217
266,19990901,349
267,19801001,113
268,20091201,446
269,19920701,261
270,20060101,409
271,20080801,434
272,19930201,271
273,20100101,447
274,19850401,167
275,19840901,160
276,19860401,182
277,20070401,420
278,19740901,41
279,20130901,481
280,19850701,171
281,20040801,396
282,20120501,469
283,19770201,72
284,19870101,195
285,19830901,156
286,20130101,478
287,20100301,449
288,20090801,444
289,20070901,424
290,20111201,464
291,20040101,389
292,19951101,310
293,20080901,436
294,19830201,146
295,19830301,149
296,19790801,101
297,20090101,440
298,19930101,269
299,19740301,30
300,19940101,281
301,19921201,267
302,20041101,400
303,19770101,70
304,20020301,374
305,20000201,354
306,20040101,389
307,20060701,412
308,19940201,284
309,19770401,74
310,19921001,265
311,19950101,294
312,19890201,216
313,19781201,95
314,20070101,417
315,19760601,66
316,20110501,460
317,19750101,46
318,19780101,83
319,19750701,50
320,20121101,474
321,19990101,340
322,19911001,253
323,19730301,20
324,19961001,315
325,20070601,422
326,19951001,307
327,19990401,343
328,20010101,364
329,20000101,352
330,19880401,208
331,19931201,279
332,19740601,37
333,19971101,325
334,19860701,184
335,19730201,17
336,19780301,88
337,20071201,428
338,19980101,327
339,20050101,403
340,19800501,111
341,20071101,426
342,19760301,63
343,19980601,331
344,20050601,406
345,19731001,25
346,20050901,407
347,19800301,108
348,20051201,408
349,19870501,199
350,20040501,393
351,19740801,40
352,19860301,180
353,19971001,323
354,19930301,272
355,19810301,120
356,20030901,386
357,19931001,278
358,19830101,143
359,19940701,288
360,20081201,438
361,19801001,113
362,20030801,385
363,19751201,58
364,20101101,454
365,19970701,320
366,20140701,485
367,20010901,371
368,19860801,186
369,19780101,83
370,19750901,54
371,20090101,440
372,19950501,300
373,19890801,224
374,20001101,362
375,19730601,23
376,19990201,342
377,20010601,370
378,19781201,95
379,20090801,444
380,19730701,24
381,20140101,483
382,19750901,54
383,20121201,475
384,19990501,345
385,19890701,223
386,20090701,443
387,19981101,336
388,19950301,298
389,20090201,442
390,19880801,210
391,20070401,420
392,20000501,357
393,20120401,468
394,20011001,372
395,19770201,72
396,20080801,434
397,19830201,146
398,19790501,99
399,19920101,255
400,20081101,437
401,20141201,488
402,19740401,33
403,19811001,129
404,19861001,187
405,19730301,20
406,19941201,291
407,19990801,348
408,20101001,453
409,19941001,290
410,20070101,417
411,20100801,452
412,19900301,235
413,20161101,500
414,20040401,392
415,19730201,17
416,19870701,202
417,20000801,358
418,19750801,52
419,19770501,75
420,20000301,356
421,19840901,160
422,19730401,22
423,19861201,192
424,19790401,98
425,20040701,395
426,19841101,163
427,20160501,495
428,20071201,428
429,19821101,139
430,19810601,121
431,20130401,480
432,19990401,343
433,20060501,411
434,19781001,93
435,19891201,230
436,19740201,28
437,19861101,191
438,19830401,151
439,20141001,486
440,19890601,222
441,19800901,112
442,19920901,264
443,20000901,361
444,19810701,123
445,20080101,430
446,20020401,375
447,19850701,171
448,20100501,450
449,20020801,378
450,19940101,281
451,20041201,402
452,20030301,383
453,19910701,250
454,19820701,134
455,19840101,159
456,20000101,352
457,20010101,364
458,19820101,130
459,19980101,327
460,20120101,467
461,19910101,244
462,19880101,207
463,20140101,483
464,20160101,493
465,19760101,60
466,19810101,116
467,20110101,457
468,19970101,319
469,20030101,382
470,19830101,143
471,19990101,340
472,20100101,447
473,19750101,46
474,19720101,6
475,20150101,489
476,19890101,215
477,19940101,281
478,19930101,269
479,19960101,311
480,20130101,478
481,19740101,27
482,19900101,231
483,19950101,294
484,20040101,389
485,19870101,195
486,19730101,16
487,19920101,255
488,19770101,70
489,19850101,165
490,20070101,417
491,20090101,440
492,19860101,178
493,19780101,83
494,20020101,373
495,19790101,97
496,20060101,409
497,20080101,430
498,20050101,403
499,19800101,107
